Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Mã lịch sử giá
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,54.0,138.88888549804688,7.0,6.0,Chưa có,Không nội thất,"4,5 m",Đông - Bắc,Đông - Bắc,M
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,128.0,312.5,5.0,7.0,Hợp đồng mua bán,Cơ bản,6 m,Tây - Bắc,Đông - Nam,M
Kim Chung,Hoài Đức,Tư nhân,Tư nhân,80.0,187.5,25.0,25.0,Đầy đủ,Cơ bản,18 m,Đông - Nam,Đông - Nam,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,208.0,302.8846130371094,5.0,4.0,Đầy đủ,Đầy đủ,16 m,Tây - Bắc,Tây - Bắc,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,230.0,273.9130554199219,4.0,4.0,Đầy đủ,Đầy đủ,"11,5 m",Tây - Bắc,Tây - Bắc,M
Hòa Thạch,Quốc Oai,Tư nhân,Tư nhân,2499.7,13.0,1.0,1.0,Đầy đủ,Cơ bản,50 m,Đông - Nam,Nam,N
La Khê,Hà Đông,Công ty CP Phát triển Đô thị Quốc tế Việt Nam,The Mansions,154.0,340.9090881347656,5.0,5.0,Đầy đủ,Cơ bản,7 m,Tây,Đông,Q
Long Biên,Long Biên,Tư nhân,Tư nhân,32.0,178.125,3.0,3.0,Đầy đủ,Cơ bản,4 m,Đông - Nam,Đông - Nam,M
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,Solasta Mansion Dương Nội,170.0,158.8235321044922,5.0,5.0,Đầy đủ,Không nội thất,9 m,Đông - Nam,Đông - Nam,N
Xuân Đỉnh,Bắc Từ Liêm,Tư nhân,Tư nhân,70.0,192.85714721679688,4.0,5.0,Đầy đủ,Đầy đủ,5 m,Tây - Nam,Tây - Nam,M
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,Solasta Mansion Dương Nội,212.0,160.0,4.0,5.0,Đầy đủ,Không nội thất,"8,5 m",Tây - Nam,Đông - Bắc,N
Cổ Nhuế 2,Bắc Từ Liêm,Tư nhân,Tư nhân,30.0,206.6666717529297,4.0,4.0,Đầy đủ,Cơ bản,"3,5 m",Tây - Bắc,Tây - Bắc,M
Minh Khai,Hai Bà Trưng,Tư nhân,Tư nhân,51.2,224.609375,11.0,11.0,Đầy đủ,Đầy đủ,7 m,Nam,Nam,M
Phương Liên,Đống Đa,Tư nhân,Tư nhân,130.0,172.3076934814453,2.0,2.0,Đầy đủ,Cơ bản,"3,6 m",Đông - Nam,Đông - Nam,M
Thanh Lâm,Mê Linh,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,135.0,50.0,4.0,4.0,Hợp đồng mua bán,Cơ bản,6 m,Đông - Bắc,Đông - Bắc,M
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,246.0,380.081298828125,4.0,4.0,Đầy đủ,Cơ bản,"12,5 m",Đông - Bắc,Tây - Nam,M
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,75.0,400.0,4.0,5.0,Đầy đủ,Cơ bản,5 m,Tây - Nam,Đông - Bắc,M
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,Solasta Mansion Dương Nội,212.0,155.66036987304688,6.0,6.0,Đầy đủ,Không nội thất,9 m,Tây - Nam,Tây - Nam,N
Văn Chương,Đống Đa,Tư nhân,Tư nhân,50.0,470.0,5.0,6.0,Đầy đủ,Đầy đủ,7 m,Đông - Bắc,Đông - Bắc,Q
Ngọc Hồi,Thanh Trì,Tư nhân,Tư nhân,38.0,123.15789794921875,3.0,3.0,Đầy đủ,Đầy đủ,"4,5 m",Đông - Nam,Đông - Nam,Q
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,126.0,360.0,4.0,4.0,Đầy đủ,Đầy đủ,8 m,Đông - Bắc,Đông - Bắc,M
Xuân La,Tây Hồ,Công ty TNHH Phát triển T.H.T,KĐT Tây Hồ Tây - Starlake Hà Nội,195.5,590.0,5.0,5.0,Đầy đủ,Cơ bản,8 m,Đông,Đông,Q
Mỗ Lao,Hà Đông,Công ty TSQ Việt Nam,Làng Việt Kiều Châu Âu Euroland,253.0,250.0,5.0,4.0,Đầy đủ,Đầy đủ,15 m,Nam,Nam,M
Quang Minh,Mê Linh,Công Ty CP Đầu Tư Xây dựng Long Việt,Long Việt Riverside,70.0,127.14286041259766,6.0,4.0,Hợp đồng mua bán,Đầy đủ,5 m,Đông - Bắc,Đông - Bắc,Q
