Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,130.0,138.46153259277344,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,4,1,Không có thông tin,,,,,Đông - Nam,Không có thông tin,N
Liễu Giai,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,83.0,67.46987915039062,3.0,2.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Trúc Bạch,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,107.0,70.09346008300781,3.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,89.8,116.92649841308594,2.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,87.0,103.44827270507812,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,146.0,164.38356018066406,4.0,3.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,120.48192596435547,2.0,2.0,3,3,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,N
Vĩnh Phúc,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,80.0,74.375,2.0,2.0,4,3,5.0,20.0,,,,Không có thông tin,Không có thông tin,Q
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,81.0,148.1481475830078,2.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,125.9,67.51390075683594,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,3,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,120.48192596435547,2.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Vĩnh Phúc,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Chung cư mini, căn hộ dịch vụ",65.0,54.61538314819336,2.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Đội Cấn,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Chung cư mini, căn hộ dịch vụ",40.0,34.5,1.0,1.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Vĩnh Phúc,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Chung cư mini, căn hộ dịch vụ",45.0,31.11111068725586,1.0,1.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Mai Dịch,Cầu Giấy,Không có chủ đầu tư,Không phải dự án,Nhà riêng,60.0,245.0,14.0,14.0,4,3,8.0,,8.0,,,Không có thông tin,Không có thông tin,M
Quán Thánh,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Chung cư mini, căn hộ dịch vụ",90.0,36.66666793823242,3.0,2.0,3,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Đội Cấn,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Chung cư mini, căn hộ dịch vụ",38.0,39.47368240356445,1.0,1.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
