Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,130.0,138.46153259277344,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,4,1,Không có thông tin,,,,,Đông - Nam,Không có thông tin,N
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,89.8,116.92649841308594,2.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,87.0,103.44827270507812,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,146.0,164.38356018066406,4.0,3.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,120.48192596435547,2.0,2.0,3,3,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,N
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,81.0,148.1481475830078,2.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,125.9,67.51390075683594,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,3,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,120.48192596435547,2.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
