Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Diện tích (m²),Mức giá (triệu/m²),Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền (m),Hướng nhà,Thông tin khác,Lịch sử giá,Khoảng giá
Phường Quảng An,Tây Hồ,Hà Nội,Tân Hoàng Minh Group,D’. Le Roi Soleil,146.0,94.24657440185547,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 75,7 tr/m²; Giá T11/22: 79,6 tr/m²; Giá T12/22: 77,3 tr/m²; Giá T1/23: 73 tr/m²; Giá T2/23: 82,2 tr/m²; Giá T3/23: 81,3 tr/m²; Giá T4/23: 85,2 tr/m²; Giá T5/23: 77,2 tr/m²; Giá T6/23: 70,3 tr/m²; Giá T7/23: 78,7 tr/m²; Giá T8/23: 75,8 tr/m²; Giá T9/23: 86,2 tr/m²; Giá T10/23: 86,2 tr/m²; Giá T11/23: 90,9 tr/m²; Giá T12/23: 90,4 tr/m²; Giá T1/24: 90,9 tr/m²; Giá T2/24: 89,2 tr/m²; Giá T3/24: 93,7 tr/m²; Giá T4/24: 87,9 tr/m²; Giá T5/24: 85,6 tr/m²; Giá T6/24: 102,5 tr/m²; Giá T7/24: 106,8 tr/m²; Giá T8/24: 106,2 tr/m²; Giá T9/24: 104,4 tr/m²; Giá T10/24: 112 tr/m²;  ","62,5 104,2; 65,6 98,9; 64,4 97,6; 60 108,9; 68,2 101,8; 64,1 110,8; 63,7 105,8; 63,8 96,4; 62,8 88,9; 65 97,1; 60,4 90,3; 60,5 102,8; 63,8 145; 64,2 105,3; 67,6 121,7; 70,9 110,9; 68,8 134,1; 73 130,4; 71,6 129,7; 67,8 114,4; 71,9 130,3; 84,2 143,6; 80,9 139,3; 79,5 148,9; 80,8 141,2"
Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,Tập đoàn Lã Vọng,Louis City Hoàng Mai,95.0,289.47369384765625,6.0,6.0,Sổ đỏ/ Sổ hồng,Không nội thất,5.0,Đông,"Đường vào: 17,5 m; Số tầng: 5 tầng","Giá T10/22: 150 tr/m²; Giá T11/22: 150 tr/m²; Giá T12/22: 145 tr/m²; Giá T1/23: 145 tr/m²; Giá T2/23: 152,9 tr/m²; Giá T3/23: 135 tr/m²; Giá T4/23: 164,5 tr/m²; Giá T5/23: 153,1 tr/m²; Giá T6/23: 140,6 tr/m²; Giá T7/23: 149,6 tr/m²; Giá T8/23: 160 tr/m²; Giá T9/23: 162,9 tr/m²; Giá T10/23: 150 tr/m²; Giá T11/23: 160 tr/m²; Giá T12/23: 158,6 tr/m²; Giá T1/24: 167,5 tr/m²; Giá T2/24: 150 tr/m²; Giá T3/24: 167,9 tr/m²; Giá T4/24: 209 tr/m²; Giá T5/24: 218,8 tr/m²; Giá T6/24: 230,7 tr/m²; Giá T7/24: 232,6 tr/m²; Giá T8/24: 243,8 tr/m²; Giá T9/24: 232,4 tr/m²; Giá T10/24: 260 tr/m²;  ","131,6 182,7; 130 197; 128,5 198; 133 256,6; 130 252; 125 150,5; 136 261,4; 125 250; 120,8 268,5; 130 224,7; 136 240; 137,2 229,6; 135 187; 145 185,8; 140,9 195,5; 142,8 251; 135 218,8; 144,3 250; 165 255,7; 160 279,9; 179,8 262,9; 177 282,8; 175 348,2; 176,1 270,5; 180 348,2"
Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,Tập đoàn Lã Vọng,Louis City Hoàng Mai,112.8,336.8794250488281,6.0,6.0,Sổ đỏ/ Sổ hồng.,Không nội thất.,6.0,Tây,Đường vào: 40 m; Số tầng: 5 tầng,"Giá T10/22: 150 tr/m²; Giá T11/22: 150 tr/m²; Giá T12/22: 145 tr/m²; Giá T1/23: 145 tr/m²; Giá T2/23: 152,9 tr/m²; Giá T3/23: 135 tr/m²; Giá T4/23: 164,5 tr/m²; Giá T5/23: 153,1 tr/m²; Giá T6/23: 140,6 tr/m²; Giá T7/23: 149,6 tr/m²; Giá T8/23: 160 tr/m²; Giá T9/23: 162,9 tr/m²; Giá T10/23: 150 tr/m²; Giá T11/23: 160 tr/m²; Giá T12/23: 158,6 tr/m²; Giá T1/24: 167,5 tr/m²; Giá T2/24: 150 tr/m²; Giá T3/24: 167,9 tr/m²; Giá T4/24: 209 tr/m²; Giá T5/24: 218,8 tr/m²; Giá T6/24: 230,7 tr/m²; Giá T7/24: 232,6 tr/m²; Giá T8/24: 243,8 tr/m²; Giá T9/24: 232,4 tr/m²; Giá T10/24: 260 tr/m²;  ","131,6 182,7; 130 197; 128,5 198; 133 256,6; 130 252; 125 150,5; 136 261,4; 125 250; 120,8 268,5; 130 224,7; 136 240; 137,2 229,6; 135 187; 145 185,8; 140,9 195,5; 142,8 251; 135 218,8; 144,3 250; 165 255,7; 160 279,9; 179,8 262,9; 177 282,8; 175 348,2; 176,1 270,5; 180 348,2"
Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,Tập đoàn Lã Vọng,Louis City Hoàng Mai,113.0,270.0,5.0,6.0,Sổ đỏ/ Sổ hồng.,Cơ bản.,6.0,Tây,Đường vào: 40 m; Số tầng: 5 tầng,"Giá T10/22: 150 tr/m²; Giá T11/22: 150 tr/m²; Giá T12/22: 145 tr/m²; Giá T1/23: 145 tr/m²; Giá T2/23: 152,9 tr/m²; Giá T3/23: 135 tr/m²; Giá T4/23: 164,5 tr/m²; Giá T5/23: 153,1 tr/m²; Giá T6/23: 140,6 tr/m²; Giá T7/23: 149,6 tr/m²; Giá T8/23: 160 tr/m²; Giá T9/23: 162,9 tr/m²; Giá T10/23: 150 tr/m²; Giá T11/23: 160 tr/m²; Giá T12/23: 158,6 tr/m²; Giá T1/24: 167,5 tr/m²; Giá T2/24: 150 tr/m²; Giá T3/24: 167,9 tr/m²; Giá T4/24: 209 tr/m²; Giá T5/24: 218,8 tr/m²; Giá T6/24: 230,7 tr/m²; Giá T7/24: 232,6 tr/m²; Giá T8/24: 243,8 tr/m²; Giá T9/24: 232,4 tr/m²; Giá T10/24: 260 tr/m²;  ","131,6 182,7; 130 197; 128,5 198; 133 256,6; 130 252; 125 150,5; 136 261,4; 125 250; 120,8 268,5; 130 224,7; 136 240; 137,2 229,6; 135 187; 145 185,8; 140,9 195,5; 142,8 251; 135 218,8; 144,3 250; 165 255,7; 160 279,9; 179,8 262,9; 177 282,8; 175 348,2; 176,1 270,5; 180 348,2"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,55.0,46.3636360168457,2.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Đông - Bắc,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Phường Quảng An,Tây Hồ,Hà Nội,Tân Hoàng Minh Group,D’. Le Roi Soleil,222.4,138.803955078125,4.0,3.0,Sổ đỏ/ Sổ hồng,Semi outfit,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 75,7 tr/m²; Giá T11/22: 79,6 tr/m²; Giá T12/22: 77,3 tr/m²; Giá T1/23: 73 tr/m²; Giá T2/23: 82,2 tr/m²; Giá T3/23: 81,3 tr/m²; Giá T4/23: 85,2 tr/m²; Giá T5/23: 77,2 tr/m²; Giá T6/23: 70,3 tr/m²; Giá T7/23: 78,7 tr/m²; Giá T8/23: 75,8 tr/m²; Giá T9/23: 86,2 tr/m²; Giá T10/23: 86,2 tr/m²; Giá T11/23: 90,9 tr/m²; Giá T12/23: 90,4 tr/m²; Giá T1/24: 90,9 tr/m²; Giá T2/24: 89,2 tr/m²; Giá T3/24: 93,7 tr/m²; Giá T4/24: 87,9 tr/m²; Giá T5/24: 85,6 tr/m²; Giá T6/24: 102,5 tr/m²; Giá T7/24: 106,8 tr/m²; Giá T8/24: 106,2 tr/m²; Giá T9/24: 104,4 tr/m²; Giá T10/24: 112 tr/m²;  ","62,5 104,2; 65,6 98,9; 64,4 97,6; 60 108,9; 68,2 101,8; 64,1 110,8; 63,7 105,8; 63,8 96,4; 62,8 88,9; 65 97,1; 60,4 90,3; 60,5 102,8; 63,8 145; 64,2 105,3; 67,6 121,7; 70,9 110,9; 68,8 134,1; 73 130,4; 71,6 129,7; 67,8 114,4; 71,9 130,3; 84,2 143,6; 80,9 139,3; 79,5 148,9; 80,8 141,2"
Tây Mỗ,Nam Từ Liêm,Hà Nội,Tập đoàn Vingroup,Vinhomes Smart City,46.0,150.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Không nội thất,6.0,Không có thông tin,Đường vào: 50 m; Số tầng: 1 tầng,"Giá Q3/22: 149,3 tr/m²; Giá Q3/22: 149,3 tr/m²; Giá Q4/22: 100 tr/m²; Giá Q4/22: 100 tr/m²; Giá Q4/22: 100 tr/m²; Giá Q1/23: 135,7 tr/m²; Giá Q1/23: 135,7 tr/m²; Giá Q1/23: 135,7 tr/m²; Giá Q2/23: 139,2 tr/m²; Giá Q2/23: 139,2 tr/m²; Giá Q2/23: 139,2 tr/m²; Giá Q3/23: 134,4 tr/m²; Giá Q3/23: 134,4 tr/m²; Giá Q3/23: 134,4 tr/m²; Giá Q4/23: 120,1 tr/m²; Giá Q4/23: 120,1 tr/m²; Giá Q4/23: 120,1 tr/m²; Giá Q1/24: 155,3 tr/m²; Giá Q1/24: 155,3 tr/m²; Giá Q1/24: 155,3 tr/m²; Giá Q2/24: 152,3 tr/m²; Giá Q2/24: 152,3 tr/m²; Giá Q2/24: 152,3 tr/m²; Giá Q3/24: 160 tr/m²; Giá Q3/24: 160 tr/m²;  ","90 223,4; 90 223,4; 60 191,5; 60 191,5; 60 191,5; 92,3 194,4; 92,3 194,4; 92,3 194,4; 85,7 202,8; 85,7 202,8; 85,7 202,8; 96 188,9; 96 188,9; 96 188,9; 57,8 192,3; 57,8 192,3; 57,8 192,3; 85 207,7; 85 207,7; 85 207,7; 89,4 206,2; 89,4 206,2; 89,4 206,2; 54,3 263,1; 54,3 263,1"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,65.3,59.571205139160156,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Nhân Chính,Thanh Xuân,Hà Nội,Đang cập nhật,The Diamond Residence,105.0,86.66666412353516,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 65,7 tr/m²; Giá T11/22: 66,7 tr/m²; Giá T12/22: 65,9 tr/m²; Giá T1/23: 67,6 tr/m²; Giá T2/23: 63 tr/m²; Giá T3/23: 62,5 tr/m²; Giá T4/23: 62,1 tr/m²; Giá T5/23: 61,3 tr/m²; Giá T6/23: 59 tr/m²; Giá T7/23: 61,9 tr/m²; Giá T8/23: 61,3 tr/m²; Giá T9/23: 61 tr/m²; Giá T10/23: 61 tr/m²; Giá T11/23: 60,7 tr/m²; Giá T12/23: 66,8 tr/m²; Giá T1/24: 68,1 tr/m²; Giá T2/24: 69,8 tr/m²; Giá T3/24: 72,4 tr/m²; Giá T4/24: 75,9 tr/m²; Giá T5/24: 79,2 tr/m²; Giá T6/24: 76 tr/m²; Giá T7/24: 78,4 tr/m²; Giá T8/24: 90 tr/m²; Giá T9/24: 90,1 tr/m²; Giá T10/24: 90 tr/m²;  ","56,2 78,6; 58,3 76,1; 56,5 71,6; 54,9 73,4; 54,4 72; 55,1 76,7; 54,8 75,6; 55,6 74,1; 55,3 70,2; 55,2 79,3; 55 70,7; 55,8 74,6; 55,1 72,7; 55,5 72,8; 55,9 79,5; 60,1 86,8; 60 85,1; 62,8 93,5; 64 91,9; 67 90; 67,9 92; 70 94; 73,5 100,4; 83 107,8; 81,5 101,7"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,74.0,47.297298431396484,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Không có thông tin,Đông - Nam,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
