Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Thông tin khác,Lịch sử giá,Khoảng giá
Thường Tín,Thường Tín,Hà Nội,Đang cập nhật,Him Lam Thường Tín,90 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Đang chờ sổ,Không có thông tin,18 m,Không có thông tin,Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,55 m²,"3,53 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Không có thông tin,Tây - Bắc,Đông - Nam,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Xã Đông Hội,Đông Anh,Hà Nội,Tập đoàn Vingroup,Vinhomes Cổ Loa,64 m²,"14,2 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Vĩnh Phúc,Ba Đình,Hà Nội,Công ty CP đầu tư & xây dựng Ba Đình số 1,Khu nhà ở số 6 Đội Nhân,94 m²,"5,99 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Mới sắm toàn bộ, sẵn cho hộ gia đình ở lâu dài",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,Tập đoàn Lã Vọng,Louis City Hoàng Mai,95 m²,"27,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,5 m,Đông,Đông,"Đường vào: 17,5 m; Số tầng: 5 tầng","Giá T10/22: 150 tr/m²; Giá T11/22: 150 tr/m²; Giá T12/22: 145 tr/m²; Giá T1/23: 145 tr/m²; Giá T2/23: 152,9 tr/m²; Giá T3/23: 135 tr/m²; Giá T4/23: 164,5 tr/m²; Giá T5/23: 153,1 tr/m²; Giá T6/23: 140,6 tr/m²; Giá T7/23: 149,6 tr/m²; Giá T8/23: 160 tr/m²; Giá T9/23: 162,9 tr/m²; Giá T10/23: 150 tr/m²; Giá T11/23: 160 tr/m²; Giá T12/23: 158,6 tr/m²; Giá T1/24: 167,5 tr/m²; Giá T2/24: 150 tr/m²; Giá T3/24: 167,9 tr/m²; Giá T4/24: 209 tr/m²; Giá T5/24: 218,8 tr/m²; Giá T6/24: 230,7 tr/m²; Giá T7/24: 232,6 tr/m²; Giá T8/24: 243,8 tr/m²; Giá T9/24: 232,4 tr/m²; Giá T10/24: 260 tr/m²;  ","131,6 182,7; 130 197; 128,5 198; 133 256,6; 130 252; 125 150,5; 136 261,4; 125 250; 120,8 268,5; 130 224,7; 136 240; 137,2 229,6; 135 187; 145 185,8; 140,9 195,5; 142,8 251; 135 218,8; 144,3 250; 165 255,7; 160 279,9; 179,8 262,9; 177 282,8; 175 348,2; 176,1 270,5; 180 348,2"
Xã Đông Yên,Quốc Oai,Hà Nội,Không có thông tin,Không có thông tin,168 m²,"8,5 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,10 m,Không có thông tin,Không có thông tin,Đường vào: 12 m,Giá T10/22: 11 tr/m²; Giá T11/22: 11 tr/m²; Giá T12/22: 11 tr/m²; Giá T1/23: 14 tr/m²; Giá T2/23: 11 tr/m²; Giá T3/23: 13 tr/m²; Giá T4/23: 15 tr/m²; Giá T5/23: 9 tr/m²; Giá T6/23: 12 tr/m²; Giá T7/23: 9 tr/m²; Giá T8/23: 12 tr/m²; Giá T9/23: 12 tr/m²; Giá T10/23: 11 tr/m²; Giá T11/23: 14 tr/m²; Giá T12/23: 13 tr/m²; Giá T1/24: 9 tr/m²; Giá T2/24: 11 tr/m²; Giá T3/24: 11 tr/m²; Giá T4/24: 13 tr/m²; Giá T5/24: 13 tr/m²; Giá T6/24: 15 tr/m²; Giá T7/24: 15 tr/m²; Giá T8/24: 15 tr/m²; Giá T9/24: 15 tr/m²; Giá T10/24: 17 tr/m²;  ,5 24; 5 26; 5 20; 11 19; 6 26; 7 31; 6 26; 5 15; 5 22; 3 22; 6 34; 7 27; 5 18; 7 29; 8 28; 5 13; 7 18; 8 19; 8 23; 9 20; 9 23; 9 23; 9 23; 9 27; 10 27
Xã Uy Nỗ,Đông Anh,Hà Nội,Không có thông tin,Không có thông tin,72 m²,"8,8 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,"6,1 m",Không có thông tin,Không có thông tin,Đường vào: 6 m,Giá T10/22: 56 tr/m²; Giá T11/22: 70 tr/m²; Giá T12/22: 65 tr/m²; Giá T1/23: 55 tr/m²; Giá T2/23: 51 tr/m²; Giá T3/23: 49 tr/m²; Giá T4/23: 74 tr/m²; Giá T5/23: 72 tr/m²; Giá T6/23: 54 tr/m²; Giá T7/23: 71 tr/m²; Giá T8/23: 67 tr/m²; Giá T9/23: 54 tr/m²; Giá T10/23: 66 tr/m²; Giá T11/23: 59 tr/m²; Giá T12/23: 57 tr/m²; Giá T1/24: 59 tr/m²; Giá T2/24: 61 tr/m²; Giá T3/24: 62 tr/m²; Giá T4/24: 63 tr/m²; Giá T5/24: 70 tr/m²; Giá T6/24: 80 tr/m²; Giá T7/24: 79 tr/m²; Giá T8/24: 85 tr/m²; Giá T9/24: 93 tr/m²; Giá T10/24: 82 tr/m²;  ,36 163; 38 150; 38 126; 37 108; 29 118; 35 90; 40 151; 36 153; 30 118; 26 145; 30 182; 26 129; 35 171; 29 139; 32 134; 36 140; 39 134; 38 145; 37 140; 42 170; 41 227; 46 188; 43 215; 54 220; 52 196
Phường Mỹ Đình 1,Nam Từ Liêm,Hà Nội.,Không có thông tin,Không có thông tin,61 m²,"12,6 tỷ",18 phòng,18 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,Không có thông tin,Không có thông tin,Đường vào: 3 m; Số tầng: 8 tầng,Giá T10/22: 149 tr/m²; Giá T11/22: 134 tr/m²; Giá T12/22: 129 tr/m²; Giá T1/23: 132 tr/m²; Giá T2/23: 141 tr/m²; Giá T3/23: 147 tr/m²; Giá T4/23: 141 tr/m²; Giá T5/23: 143 tr/m²; Giá T6/23: 142 tr/m²; Giá T7/23: 143 tr/m²; Giá T8/23: 143 tr/m²; Giá T9/23: 151 tr/m²; Giá T10/23: 161 tr/m²; Giá T11/23: 153 tr/m²; Giá T12/23: 149 tr/m²; Giá T1/24: 171 tr/m²; Giá T2/24: 163 tr/m²; Giá T3/24: 162 tr/m²; Giá T4/24: 173 tr/m²; Giá T5/24: 189 tr/m²; Giá T6/24: 195 tr/m²; Giá T7/24: 195 tr/m²; Giá T8/24: 199 tr/m²; Giá T9/24: 195 tr/m²; Giá T10/24: 213 tr/m²;  ,96 274; 95 238; 95 202; 94 229; 93 260; 93 295; 89 237; 96 239; 96 244; 92 250; 100 221; 103 259; 104 297; 104 270; 105 245; 104 333; 112 301; 117 260; 130 258; 132 323; 129 365; 138 306; 143 321; 138 293; 148 334
Phường Mỹ Đình 1,Nam Từ Liêm,Hà Nội.,Không có thông tin,Không có thông tin,43 m²,"9,5 tỷ",9 phòng,9 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,4 m,Không có thông tin,Không có thông tin,Đường vào: 3 m; Số tầng: 5 tầng,Giá T10/22: 149 tr/m²; Giá T11/22: 134 tr/m²; Giá T12/22: 129 tr/m²; Giá T1/23: 132 tr/m²; Giá T2/23: 141 tr/m²; Giá T3/23: 147 tr/m²; Giá T4/23: 141 tr/m²; Giá T5/23: 143 tr/m²; Giá T6/23: 142 tr/m²; Giá T7/23: 143 tr/m²; Giá T8/23: 143 tr/m²; Giá T9/23: 151 tr/m²; Giá T10/23: 161 tr/m²; Giá T11/23: 153 tr/m²; Giá T12/23: 149 tr/m²; Giá T1/24: 171 tr/m²; Giá T2/24: 163 tr/m²; Giá T3/24: 162 tr/m²; Giá T4/24: 173 tr/m²; Giá T5/24: 189 tr/m²; Giá T6/24: 195 tr/m²; Giá T7/24: 195 tr/m²; Giá T8/24: 199 tr/m²; Giá T9/24: 195 tr/m²; Giá T10/24: 213 tr/m²;  ,96 274; 95 238; 95 202; 94 229; 93 260; 93 295; 89 237; 96 239; 96 244; 92 250; 100 221; 103 259; 104 297; 104 270; 105 245; 104 333; 112 301; 117 260; 130 258; 132 323; 129 365; 138 306; 143 321; 138 293; 148 334
Phường Mai Dịch,Cầu Giấy,Hà Nội,Không có thông tin,Không có thông tin,60 m²,"19,3 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,6 m,Không có thông tin,Không có thông tin,Số tầng: 6 tầng,Giá T10/22: 166 tr/m²; Giá T11/22: 173 tr/m²; Giá T12/22: 161 tr/m²; Giá T1/23: 159 tr/m²; Giá T2/23: 167 tr/m²; Giá T3/23: 160 tr/m²; Giá T4/23: 173 tr/m²; Giá T5/23: 169 tr/m²; Giá T6/23: 171 tr/m²; Giá T7/23: 168 tr/m²; Giá T8/23: 175 tr/m²; Giá T9/23: 183 tr/m²; Giá T10/23: 203 tr/m²; Giá T11/23: 211 tr/m²; Giá T12/23: 196 tr/m²; Giá T1/24: 214 tr/m²; Giá T2/24: 210 tr/m²; Giá T3/24: 216 tr/m²; Giá T4/24: 220 tr/m²; Giá T5/24: 207 tr/m²; Giá T6/24: 206 tr/m²; Giá T7/24: 221 tr/m²; Giá T8/24: 232 tr/m²; Giá T9/24: 238 tr/m²; Giá T10/24: 255 tr/m²;  ,107 263; 110 323; 98 303; 91 299; 110 274; 105 275; 117 265; 112 276; 104 299; 107 299; 108 291; 113 300; 130 367; 126 357; 117 338; 137 350; 147 290; 130 341; 143 350; 146 327; 141 322; 143 361; 154 358; 156 366; 170 404
