Phường Quảng An,Tây Hồ,Hà Nội,Tân Hoàng Minh Group,D’. Le Roi Soleil,Căn hộ chung cư tại D’. Le Roi Soleil,"222,4 m²","30,87 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Semi outfit,Không có thông tin,Không có thông tin,Tây - Bắc,Số tòa: 2; Số căn hộ: 498,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Phú Thượng,Tây Hồ,Hà Nội,Công ty CP Tập đoàn Sunshine,Sunshine Golden River,Căn hộ chung cư tại Sunshine Golden River,141 m²,12 tỷ,3 phòng,2 phòng,Không có thông tin,Bàn giao full nội thất cao cấp liền tường nhập khẩu Châu Âu.,Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 1; Số căn hộ: 217,"Giá Q3/22: 76,2 tr/m²; Giá Q3/22: 76,2 tr/m²; Giá Q4/22: 70,7 tr/m²; Giá Q4/22: 70,7 tr/m²; Giá Q4/22: 70,7 tr/m²; Giá Q1/23: 69,2 tr/m²; Giá Q1/23: 69,2 tr/m²; Giá Q1/23: 69,2 tr/m²; Giá Q2/23: 69,2 tr/m²; Giá Q2/23: 69,2 tr/m²; Giá Q2/23: 69,2 tr/m²; Giá Q3/23: 60 tr/m²; Giá Q3/23: 60 tr/m²; Giá Q3/23: 60 tr/m²; Giá Q4/23: 58,5 tr/m²; Giá Q4/23: 58,5 tr/m²; Giá Q4/23: 58,5 tr/m²; Giá Q1/24: 70,3 tr/m²; Giá Q1/24: 70,3 tr/m²; Giá Q1/24: 70,3 tr/m²; Giá Q2/24: 81,5 tr/m²; Giá Q2/24: 81,5 tr/m²; Giá Q2/24: 81,5 tr/m²; Giá Q3/24: 94,8 tr/m²; Giá Q3/24: 94,8 tr/m²;  ","66 120; 66 120; 64 93,6; 64 93,6; 64 93,6; 67,4 87,8; 67,4 87,8; 67,4 87,8; 67,4 87,8; 67,4 87,8; 67,4 87,8; 56,6 78,4; 56,6 78,4; 56,6 78,4; 50,7 104,1; 50,7 104,1; 50,7 104,1; 51,9 104,6; 51,9 104,6; 51,9 104,6; 70,3 118; 70,3 118; 70,3 118; 78 140,3; 78 140,3"
Phường Quảng An,Tây Hồ,Hà Nội,Tân Hoàng Minh Group,D’. Le Roi Soleil,Căn hộ chung cư tại D’. Le Roi Soleil,146 m²,"13,76 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 2; Số căn hộ: 498,"Giá T10/22: 75,7 tr/m²; Giá T11/22: 79,6 tr/m²; Giá T12/22: 77,3 tr/m²; Giá T1/23: 73 tr/m²; Giá T2/23: 82,2 tr/m²; Giá T3/23: 81,3 tr/m²; Giá T4/23: 85,2 tr/m²; Giá T5/23: 77,2 tr/m²; Giá T6/23: 70,3 tr/m²; Giá T7/23: 78,7 tr/m²; Giá T8/23: 75,8 tr/m²; Giá T9/23: 86,2 tr/m²; Giá T10/23: 86,2 tr/m²; Giá T11/23: 90,9 tr/m²; Giá T12/23: 90,4 tr/m²; Giá T1/24: 90,9 tr/m²; Giá T2/24: 89,2 tr/m²; Giá T3/24: 93,7 tr/m²; Giá T4/24: 87,9 tr/m²; Giá T5/24: 85,6 tr/m²; Giá T6/24: 102,5 tr/m²; Giá T7/24: 106,8 tr/m²; Giá T8/24: 106,2 tr/m²; Giá T9/24: 104,4 tr/m²; Giá T10/24: 112 tr/m²;  ","62,5 104,2; 65,6 98,9; 64,4 97,6; 60 108,9; 68,2 101,8; 64,1 110,8; 63,7 105,8; 63,8 96,4; 62,8 88,9; 65 97,1; 60,4 90,3; 60,5 102,8; 63,8 145; 64,2 105,3; 67,6 121,7; 70,9 110,9; 68,8 134,1; 73 130,4; 71,6 129,7; 67,8 114,4; 71,9 130,3; 84,2 143,6; 80,9 139,3; 79,5 148,9; 80,8 141,2"
Phường Quảng An,Tây Hồ,Hà Nội,Tân Hoàng Minh Group,D’. Le Roi Soleil,Căn hộ chung cư tại D’. Le Roi Soleil,104 m²,15 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Đông - Nam,Tây - Bắc,Số tòa: 2; Số căn hộ: 498,"Giá T10/22: 75,7 tr/m²; Giá T11/22: 79,6 tr/m²; Giá T12/22: 77,3 tr/m²; Giá T1/23: 73 tr/m²; Giá T2/23: 82,2 tr/m²; Giá T3/23: 81,3 tr/m²; Giá T4/23: 85,2 tr/m²; Giá T5/23: 77,2 tr/m²; Giá T6/23: 70,3 tr/m²; Giá T7/23: 78,7 tr/m²; Giá T8/23: 75,8 tr/m²; Giá T9/23: 86,2 tr/m²; Giá T10/23: 86,2 tr/m²; Giá T11/23: 90,9 tr/m²; Giá T12/23: 90,4 tr/m²; Giá T1/24: 90,9 tr/m²; Giá T2/24: 89,2 tr/m²; Giá T3/24: 93,7 tr/m²; Giá T4/24: 87,9 tr/m²; Giá T5/24: 85,6 tr/m²; Giá T6/24: 102,5 tr/m²; Giá T7/24: 106,8 tr/m²; Giá T8/24: 106,2 tr/m²; Giá T9/24: 104,4 tr/m²; Giá T10/24: 112 tr/m²;  ","62,5 104,2; 65,6 98,9; 64,4 97,6; 60 108,9; 68,2 101,8; 64,1 110,8; 63,7 105,8; 63,8 96,4; 62,8 88,9; 65 97,1; 60,4 90,3; 60,5 102,8; 63,8 145; 64,2 105,3; 67,6 121,7; 70,9 110,9; 68,8 134,1; 73 130,4; 71,6 129,7; 67,8 114,4; 71,9 130,3; 84,2 143,6; 80,9 139,3; 79,5 148,9; 80,8 141,2"
Phường Phú Thượng,Tây Hồ,Hà Nội,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,Căn hộ chung cư tại Sunshine Riverside,"83,8 m²","6,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 3; Số căn hộ: 932,"Giá T10/22: 46,8 tr/m²; Giá T11/22: 46,3 tr/m²; Giá T12/22: 46,4 tr/m²; Giá T1/23: 45,6 tr/m²; Giá T2/23: 46,6 tr/m²; Giá T3/23: 45,3 tr/m²; Giá T4/23: 44,4 tr/m²; Giá T5/23: 46 tr/m²; Giá T6/23: 47,4 tr/m²; Giá T7/23: 48,2 tr/m²; Giá T8/23: 48,7 tr/m²; Giá T9/23: 50 tr/m²; Giá T10/23: 50 tr/m²; Giá T11/23: 50 tr/m²; Giá T12/23: 50,7 tr/m²; Giá T1/24: 51,5 tr/m²; Giá T2/24: 51,7 tr/m²; Giá T3/24: 55 tr/m²; Giá T4/24: 60 tr/m²; Giá T5/24: 61,3 tr/m²; Giá T6/24: 60,6 tr/m²; Giá T7/24: 64,6 tr/m²; Giá T8/24: 67,6 tr/m²; Giá T9/24: 70,9 tr/m²; Giá T10/24: 71,9 tr/m²;  ","42,1 80,7; 41,9 80,4; 41,9 56,1; 42,4 52,4; 41 55,3; 41,5 54,5; 38,5 50,2; 43,2 52,1; 42,5 60,2; 44,1 53,4; 44,7 53,6; 46,2 57; 45,2 57,1; 45,2 56,6; 45,4 56,1; 47,7 60,2; 47,5 59; 48,6 64,8; 51,6 66,9; 56,5 67; 57 69,8; 58,1 71,1; 62,3 74,9; 65,7 84,2; 68 81,4"
Phường Phú Thượng,Tây Hồ,Hà Nội,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,Căn hộ chung cư tại Sunshine Riverside,"80,6 m²","5,8 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 3; Số căn hộ: 932,"Giá T10/22: 46,8 tr/m²; Giá T11/22: 46,3 tr/m²; Giá T12/22: 46,4 tr/m²; Giá T1/23: 45,6 tr/m²; Giá T2/23: 46,6 tr/m²; Giá T3/23: 45,3 tr/m²; Giá T4/23: 44,4 tr/m²; Giá T5/23: 46 tr/m²; Giá T6/23: 47,4 tr/m²; Giá T7/23: 48,2 tr/m²; Giá T8/23: 48,7 tr/m²; Giá T9/23: 50 tr/m²; Giá T10/23: 50 tr/m²; Giá T11/23: 50 tr/m²; Giá T12/23: 50,7 tr/m²; Giá T1/24: 51,5 tr/m²; Giá T2/24: 51,7 tr/m²; Giá T3/24: 55 tr/m²; Giá T4/24: 60 tr/m²; Giá T5/24: 61,3 tr/m²; Giá T6/24: 60,6 tr/m²; Giá T7/24: 64,6 tr/m²; Giá T8/24: 67,6 tr/m²; Giá T9/24: 70,9 tr/m²; Giá T10/24: 71,9 tr/m²;  ","42,1 80,7; 41,9 80,4; 41,9 56,1; 42,4 52,4; 41 55,3; 41,5 54,5; 38,5 50,2; 43,2 52,1; 42,5 60,2; 44,1 53,4; 44,7 53,6; 46,2 57; 45,2 57,1; 45,2 56,6; 45,4 56,1; 47,7 60,2; 47,5 59; 48,6 64,8; 51,6 66,9; 56,5 67; 57 69,8; 58,1 71,1; 62,3 74,9; 65,7 84,2; 68 81,4"
Phường Phú Thượng,Tây Hồ,Hà Nội,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,Căn hộ chung cư tại Sunshine Riverside,95 m²,"7,6 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ nội thất cao cấp: Điều hòa âm trần Daikin, TBVS Kohler, sàn gỗ, smarthome 4.0,..",Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 3; Số căn hộ: 932,"Giá T10/22: 46,8 tr/m²; Giá T11/22: 46,3 tr/m²; Giá T12/22: 46,4 tr/m²; Giá T1/23: 45,6 tr/m²; Giá T2/23: 46,6 tr/m²; Giá T3/23: 45,3 tr/m²; Giá T4/23: 44,4 tr/m²; Giá T5/23: 46 tr/m²; Giá T6/23: 47,4 tr/m²; Giá T7/23: 48,2 tr/m²; Giá T8/23: 48,7 tr/m²; Giá T9/23: 50 tr/m²; Giá T10/23: 50 tr/m²; Giá T11/23: 50 tr/m²; Giá T12/23: 50,7 tr/m²; Giá T1/24: 51,5 tr/m²; Giá T2/24: 51,7 tr/m²; Giá T3/24: 55 tr/m²; Giá T4/24: 60 tr/m²; Giá T5/24: 61,3 tr/m²; Giá T6/24: 60,6 tr/m²; Giá T7/24: 64,6 tr/m²; Giá T8/24: 67,6 tr/m²; Giá T9/24: 70,9 tr/m²; Giá T10/24: 71,9 tr/m²;  ","42,1 80,7; 41,9 80,4; 41,9 56,1; 42,4 52,4; 41 55,3; 41,5 54,5; 38,5 50,2; 43,2 52,1; 42,5 60,2; 44,1 53,4; 44,7 53,6; 46,2 57; 45,2 57,1; 45,2 56,6; 45,4 56,1; 47,7 60,2; 47,5 59; 48,6 64,8; 51,6 66,9; 56,5 67; 57 69,8; 58,1 71,1; 62,3 74,9; 65,7 84,2; 68 81,4"
Phường Phú Thượng,Tây Hồ,Hà Nội,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,Căn hộ chung cư tại Sunshine Riverside,"93,3 m²","7,1 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Không có thông tin,Đông,Không có thông tin,Số tòa: 3; Số căn hộ: 932,"Giá T10/22: 46,8 tr/m²; Giá T11/22: 46,3 tr/m²; Giá T12/22: 46,4 tr/m²; Giá T1/23: 45,6 tr/m²; Giá T2/23: 46,6 tr/m²; Giá T3/23: 45,3 tr/m²; Giá T4/23: 44,4 tr/m²; Giá T5/23: 46 tr/m²; Giá T6/23: 47,4 tr/m²; Giá T7/23: 48,2 tr/m²; Giá T8/23: 48,7 tr/m²; Giá T9/23: 50 tr/m²; Giá T10/23: 50 tr/m²; Giá T11/23: 50 tr/m²; Giá T12/23: 50,7 tr/m²; Giá T1/24: 51,5 tr/m²; Giá T2/24: 51,7 tr/m²; Giá T3/24: 55 tr/m²; Giá T4/24: 60 tr/m²; Giá T5/24: 61,3 tr/m²; Giá T6/24: 60,6 tr/m²; Giá T7/24: 64,6 tr/m²; Giá T8/24: 67,6 tr/m²; Giá T9/24: 70,9 tr/m²; Giá T10/24: 71,9 tr/m²;  ","42,1 80,7; 41,9 80,4; 41,9 56,1; 42,4 52,4; 41 55,3; 41,5 54,5; 38,5 50,2; 43,2 52,1; 42,5 60,2; 44,1 53,4; 44,7 53,6; 46,2 57; 45,2 57,1; 45,2 56,6; 45,4 56,1; 47,7 60,2; 47,5 59; 48,6 64,8; 51,6 66,9; 56,5 67; 57 69,8; 58,1 71,1; 62,3 74,9; 65,7 84,2; 68 81,4"
Phường Phú Thượng,Tây Hồ,Hà Nội,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,Căn hộ chung cư tại Sunshine Riverside,"96,8 m²",7 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ: Trần thạch cao, đèn chùm, đèn trần, điều hòa âm trần Mitsubishi, sàn gỗ cao cấp, tủ bếp trên dưới, chậu rửa, bếp từ, hút mùi, cửa khóa vân tay cao cấp, chuông cửa thông minh, TBVS Kohler, thiế",Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 3; Số căn hộ: 932,"Giá T10/22: 46,8 tr/m²; Giá T11/22: 46,3 tr/m²; Giá T12/22: 46,4 tr/m²; Giá T1/23: 45,6 tr/m²; Giá T2/23: 46,6 tr/m²; Giá T3/23: 45,3 tr/m²; Giá T4/23: 44,4 tr/m²; Giá T5/23: 46 tr/m²; Giá T6/23: 47,4 tr/m²; Giá T7/23: 48,2 tr/m²; Giá T8/23: 48,7 tr/m²; Giá T9/23: 50 tr/m²; Giá T10/23: 50 tr/m²; Giá T11/23: 50 tr/m²; Giá T12/23: 50,7 tr/m²; Giá T1/24: 51,5 tr/m²; Giá T2/24: 51,7 tr/m²; Giá T3/24: 55 tr/m²; Giá T4/24: 60 tr/m²; Giá T5/24: 61,3 tr/m²; Giá T6/24: 60,6 tr/m²; Giá T7/24: 64,6 tr/m²; Giá T8/24: 67,6 tr/m²; Giá T9/24: 70,9 tr/m²; Giá T10/24: 71,9 tr/m²;  ","42,1 80,7; 41,9 80,4; 41,9 56,1; 42,4 52,4; 41 55,3; 41,5 54,5; 38,5 50,2; 43,2 52,1; 42,5 60,2; 44,1 53,4; 44,7 53,6; 46,2 57; 45,2 57,1; 45,2 56,6; 45,4 56,1; 47,7 60,2; 47,5 59; 48,6 64,8; 51,6 66,9; 56,5 67; 57 69,8; 58,1 71,1; 62,3 74,9; 65,7 84,2; 68 81,4"
Phường Phú Thượng,Tây Hồ,Hà Nội,Tân Hoàng Minh Group,D’. El Dorado,Căn hộ chung cư tại D’. El Dorado,33 m²,"3,3 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 1; Số căn hộ: 448,"Giá T10/22: 77,4 tr/m²; Giá T11/22: 71,6 tr/m²; Giá T12/22: 82,7 tr/m²; Giá T1/23: 60,6 tr/m²; Giá T2/23: 77,4 tr/m²; Giá T3/23: 74,1 tr/m²; Giá T4/23: 73,2 tr/m²; Giá T5/23: 109,5 tr/m²; Giá T6/23: 58,5 tr/m²; Giá T7/23: 107,8 tr/m²; Giá T8/23: 99,1 tr/m²; Giá T9/23: 84 tr/m²; Giá T10/23: 95 tr/m²; Giá T11/23: 81,4 tr/m²; Giá T12/23: 74,8 tr/m²; Giá T1/24: 65,8 tr/m²; Giá T2/24: 72,3 tr/m²; Giá T3/24: 100,6 tr/m²; Giá T4/24: 74,4 tr/m²; Giá T5/24: 85,5 tr/m²; Giá T6/24: 87,5 tr/m²; Giá T7/24: 87,3 tr/m²; Giá T8/24: 88,1 tr/m²; Giá T9/24: 92,7 tr/m²; Giá T10/24: 96,8 tr/m²;  ","47,2 108,9; 54,9 111,4; 53 138; 54,6 119,7; 68,8 140,9; 58,2 110,3; 50,7 133,6; 57 142,7; 55,9 111,1; 56,3 136; 60,7 136,1; 54,3 125,2; 60,3 139,4; 62,1 130,7; 53,2 134,2; 54,7 122,6; 57,1 133; 60 124,8; 59,9 125,3; 60,8 135,3; 65 145,7; 71,7 149,1; 72,4 154,8; 76,3 131,3; 77,2 157,6"
