Tên dự án,Mức giá
6th Element,70.0
A10-A14 Nam Trung Yên,59.82
AZ Lâm Viên Complex,66.4
Aeon Mall Long Biên,147.62
Amber Riverside,66.88
An Bình Plaza,54.82
An Khang Villa,170.0
An Lạc - Nam La Khê,36.74
An Lạc - Phùng Khoang,48.3
An Phú Shop Villa,126.05
An Quý Villa - KĐT Dương Nội,166.67
An Vượng Villa,130.0
Anland Complex,64.81
Anland LakeView,50.0
Anland Premium,58.82
Arden Park,190.0
Athena Fulland,313.33
Avenue Garden,85.71
B1-B2 Tây Nam Linh Đàm,65.88
Bamboo Airways Tower,8.48
Berriver Jardin Long Biên,46.59
Bình Minh Garden,50.0
Bình Vượng Tower,32.09
C14 - Bộ Công An,41.04
C3 Tower - Golden Palace,75.51
C37 Bộ Công An - Bắc Hà Tower,44.64
CHCC 257 Giải Phóng,59.41
CT1 Thạch Bàn,42.4
CT1 Trung Văn - Vinaconex 3,62.86
CT1 Yên Nghĩa,48.51
CT2 Viettel Trung Văn,43.31
CT2 Xuân Phương,39.38
CT2 Yên Nghĩa,36.0
CT3 Tây Nam Linh Đàm,56.0
CT36 - Dream Home,53.62
CT4 Vimeco II,65.0
CTM Building - 139 Cầu Giấy,67.36
CTM Building - 299 Cầu Giấy,59.72
Central Field Trung Kính,74.29
Chelsea Residences,100.0
Chung cư 11T2 Xuân Mai,22.83
Chung cư 122 Vĩnh Tuy,63.08
Chung cư 141 Trương Định,58.67
Chung cư 15-17 Ngọc Khánh,73.0
Chung cư 16B Nguyễn Thái Học,39.77
Chung cư 183 Hoàng Văn Thái,58.56
Chung cư 187 Tây Sơn,69.23
Chung cư 30 Phạm Văn Đồng,50.0
Chung cư 379 Đội Cấn,55.56
Chung cư 45 Nguyễn Sơn,54.56
Chung cư 536A Minh Khai,72.55
Chung cư 57 Vũ Trọng Phụng,49.07
Chung cư 671 Hoàng Hoa Thám,61.05
Chung cư 96 Định Công,45.61
Chung cư B4 - B14 Kim Liên,535.71
Chung cư Ban cơ yếu Chính phủ,56.1
Chung cư Booyoung,63.16
Chung cư Bộ Tổng Tham Mưu,5.25
Chung cư C1 Thành Công,45.98
Chung cư CT36 Xuân La,71.43
Chung cư Cienco1,61.29
Chung cư D2 Giảng Võ,69.23
Chung cư Golden West,50.91
Chung cư Hemisco Xa La,39.33
Chung cư M3 - M4 Nguyễn Chí Thanh,52.0
Chung cư Nam Xa La,30.77
Chung cư Newtatco,324.56
Chung cư Nàng Hương - 583 Nguyễn Trãi,53.06
Chung cư Oriental Westlake,58.4
Chung cư Packexim,50.41
Chung cư Ruby City CT3,41.92
Chung cư Sails Tower,45.97
Chung cư The Nine,66.67
Chung cư The Senique Hanoi,60.23
Chung cư Vinaconex 21,37.11
Chung cư Viện 103,53.16
Chung cư Vườn Xuân - 71 Nguyễn Chí Thanh,64.52
Chung cư X2 Đại Kim,43.0
Chung cư Yên Hòa Thăng Long,54.2
Chung cư cao tầng Trung Yên I,70.0
Chung cư Đại Thanh,33.33
Cầu Giấy Center Point,60.15
D22 Bộ Tư Lệnh Biên Phòng,47.03
Diamond Flower Tower,58.48
Discovery Complex,55.0
Dolphin Plaza,43.01
Dream Land Xuân La,391.09
Dream Town,41.57
Dreamland Bonanza,46.67
Dự án Học Viện Quốc Phòng,50.74
Dự án Thuận An,143.68
Dự án Viện bỏng Lê Hữu Trác,44.81
D’. El Dorado,75.0
D’. El Dorado II,67.5
D’. Le Pont D’or - Hoàng Cầu,99.26
D’. Le Roi Soleil,68.49
Eco City Việt Hưng,46.15
Eco Dream Nguyễn Xiển,44.9
Eco Green City,45.0
Eco Lake View,52.38
Ecohome 1,32.89
Ecohome Phúc Lợi,43.06
Ecolife Capitol,41.03
Ecolife Tây Hồ,60.81
Endless Skyline West Lake,115.46
Eurowindow Multi Complex,57.5
Eurowindow River Park,30.0
Eurowindow Twin Parks,182.0
FLC Complex 36 Phạm Hùng,54.13
FLC Garden City,229.59
FLC Landmark Tower,31.45
FLC Star Tower,41.24
Feliz Homes,55.42
Florence Mỹ Đình,50.65
Gamuda City,200.0
Gamuda Gardens,195.0
Gelexia Riverside,56.1
Geleximco Southern Star,45.16
Gold Tower,57.5
Golden Field Mỹ Đình,54.17
Golden Land,48.19
Golden Palace,40.0
Golden Westlake,86.96
Goldsilk Complex,49.22
Grandeur Palace Giảng Võ,114.94
Green House,47.92
Green Park Tower,57.14
Green Park Trần Thủ Độ,52.83
Green Pearl 378 Minh Khai,68.75
H6 Starlake,388.89
H7 Starlake,446.51
HC Golden City,67.36
HDI Homes Nguyễn Tuân,408.16
HDI Tower,149.56
HH1 Linh Đàm,37.35
HH2 - Bắc Hà,37.59
HH2 Linh Đàm,37.89
HH3 Linh Đàm,34.38
HH4 Linh Đàm,39.47
HP Landmark Tower,52.72
HPC Landmark 105,43.31
HUD Me Linh Central,53.33
HUD3 Nguyễn Đức Cảnh,61.46
Ha Do Park View,66.33
Handi Resco Lê Văn Lương,75.71
Handico Complex,64.71
Happy Star Tower,45.19
Hapulico Complex,51.85
Harmony Square,68.0
Hateco Apollo,50.0
Hateco Hoàng Mai,45.09
Hateco Laroma,87.1
Hei Tower,53.37
Helios Tower 75 Tam Trinh,69.08
Heritage West Lake,73.17
Him Lam Thượng Thanh,210.0
Him Lam Vạn Phúc,435.19
Hinode City,84.83
Home City Trung Kính,67.35
Hong Kong Tower,78.74
Hope Residence,43.75
Housinco Premium,49.14
Hoàng Thành Pearl,61.73
Hoàng Thành Tower,74.59
Hyundai Hillstate,53.73
Hà Nội Aqua Central,116.67
Hà Nội Center Point,35.29
Hà Nội Garden City,163.19
Hà Nội Garden Villa (Hà Nội Garden City),160.0
Hà Nội Golden Lake,2.39
Hà Nội Homeland,55.68
Hà Nội Melody Residences,40.63
Hà Nội Paragon,49.82
Hà Nội Tropical Garden,82.0
Hòa Bình Green Apartment,76.19
Hòa Bình Green City,60.0
Hạ Đình Tower,47.46
Hồ Gươm Plaza,45.0
Hồng Hà Tower,54.67
IA20 Ciputra,250.0
ICID Complex,52.94
Imperia Cổ Loa,79.0
Imperia Garden,57.14
Imperia Sky Garden,55.21
Imperia Smart City,51.43
Imperia Sola Park,62.67
Imperial Plaza,58.33
Indochina Plaza Hanoi,70.0
Intracom Riverside,52.24
Iris Garden,28.89
Jade Square,160.26
Keangnam Hanoi Landmark Tower,63.36
Khu Ngoại Giao Đoàn,72.33
Khu chung cư Ngô Thì Nhậm,242.59
Khu công nghiệp Bắc Phú Cát - Hà Nội,30.0
Khu nhà phố thương mại 24h Vạn Phúc,350.0
Khu nhà ở 90 Nguyễn Tuân,65.76
Khu nhà ở Bắc Hà,34.42
Khu nhà ở Hào Nam,48.46
Khu nhà ở Hưng Thịnh,42.5
Khu nhà ở Thạch Bàn,120.0
Khu nhà ở cao tầng 102 Trường Chinh,443.04
Khu nhà ở kinh doanh Dịch Vọng,59.23
Khu nhà ở số 6 Đội Nhân,53.81
Khu đô thị 54 Hạ Đình,48.78
Khu đô thị Duyên Thái,102.94
Khu đô thị Geleximco - Lê Trọng Tấn,118.34
Khu đô thị Kim Văn - Kim Lũ (Golden Silk),37.63
Khu đô thị Kiến Hưng,180.0
Khu đô thị Mễ Trì Hạ,60.0
Khu đô thị Mễ Trì Thượng,44.79
Khu đô thị Mỗ Lao,167.89
Khu đô thị Mỹ Đình I,45.16
Khu đô thị Mỹ Đình II,53.61
Khu đô thị Mỹ Đình Sông Đà - Sudico,37.88
Khu đô thị Nam Thăng Long - Ciputra,50.85
Khu đô thị Nam Trung Yên,59.23
Khu đô thị Sài Đồng,37.0
Khu đô thị Thanh Hà Mường Thanh,30.0
Khu đô thị Thượng Thanh,166.67
Khu đô thị Trung Hòa - Nhân Chính,48.1
Khu đô thị Trung Văn - Hancic,283.81
Khu đô thị Trung Văn - Vinaconex 3,267.96
Khu đô thị Trung Yên,298.97
Khu đô thị Tây Mỗ,148.94
Khu đô thị Việt Hưng,32.69
Khu đô thị Văn Khê,36.57
Khu đô thị Văn La - Văn Khê,237.01
Khu đô thị Vĩnh Hoàng,51.56
Khu đô thị Xuân Phương,50.0
Khu đô thị Yên Hòa,52.64
Khu đô thị mới An Hưng,58.89
Khu đô thị mới Cầu Bươu,40.7
Khu đô thị mới Cầu Giấy,262.5
Khu đô thị mới Cổ Nhuế,263.82
Khu đô thị mới Dương Nội,50.0
Khu đô thị mới Dịch Vọng,54.55
Khu đô thị mới Hạ Đình,302.73
Khu đô thị mới La Khê,51.89
Khu đô thị mới Linh Đàm,37.31
Khu đô thị mới Nghĩa Đô,450.0
Khu đô thị mới Pháp Vân - Tứ Hiệp,53.97
Khu đô thị mới Phùng Khoang,237.04
Khu đô thị mới Phú Lương,157.5
Khu đô thị mới Resco,338.98
Khu đô thị mới Văn Phú,159.26
Khu đô thị mới Văn Quán,197.73
Khu đô thị mới Xa La,31.51
Khu đô thị mới Đại Kim - Định Công,51.47
Khu đô thị mới Định Công,227.68
Khu đô thị Đại Kim,54.68
Khu đô thị Đại Mỗ - Hà Nội,177.78
Khu đô thị Đặng Xá 1,41.58
Khu đô thị Đặng Xá 2,40.06
Khu đô thị Đền Lừ I,39.0
Khu đô thị Đền Lừ II,51.82
King Palace,72.0
Kita Capital Ciputra,300.0
Kita Capital Crown - Ciputra,300.0
Kiến Hưng Luxury,227.14
KĐT Làng Quốc tế Thăng Long,61.86
KĐT Tây Hồ Tây - Starlake Hà Nội,70.0
KĐT Tây Nam Kim Giang,66.67
La Casta Văn Phú,76.11
Lancaster Hà Nội,71.67
Lancaster Luminaire,69.09
Licogi 13 Tower,55.56
Liền kề Tổng cục 5 Tân Triều,168.18
Liền kề Rice City Sông Hồng,50.0
Louis City,213.64
Louis City Hoàng Mai,268.42
Lucky House Kiến Hưng,40.43
Lumi Elite,81.48
Lumi Hanoi,66.55
Lumi Prestige,70.32
Lumiere EverGreen,83.33
Làng Việt Kiều Châu Âu Euroland,43.23
Lộc Ninh Singashine,27.34
MHD Trung Văn,26.93
Mandarin Garden,64.62
Mandarin Garden 2,73.44
Masteri Grand Avenue,89.47
Masteri Waterfront,59.52
Masteri West Heights,52.82
Minori Village,239.83
Mipec City View,39.0
Mipec Riverside,67.0
Mipec Rubik 360,64.77
Momota -151A Nguyễn Đức Cảnh,46.92
Mon City,61.19
Mulberry Lane,43.0
Mỹ Sơn Tower,47.37
Mỹ Đình Pearl,53.16
Mỹ Đình Plaza,58.0
Mỹ Đình Plaza 2,54.55
N01-T5 Ngoại Giao Đoàn,93.0
N04 - KĐT Đông Nam Trần Duy Hưng,80.0
N05 - KDT Đông Nam Trần Duy Hưng,51.38
Nam Đô Complex 609 Trương Định,56.25
New Horizon City - 87 Lĩnh Nam,60.0
New Skyline,64.15
Newhouse Xa La,237.35
Newtatco Complex,52.63
Nhà ở xã hội @Home,49.09
Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp,53.25
Nhà ở xã hội Him Lam Thượng Thanh,19.0
Noble Crystal Tây Hồ,175.0
Northern Diamond,51.87
PCC1 Complex,47.17
