Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Tên dự án,Chủ đầu tư,Diện tích,Số căn hộ,Số tòa,Pháp lý,Link ảnh,Tiện ích,Project ID,Lịch sử giá
Phường Ngọc Khánh,Ba Đình,Hà Nội,Vinhomes Metropolis - Liễu Giai,Tập đoàn Vingroup,6.500 m²,1.544 căn,3 tòa,Sổ hồng từng căn,"['https://staticfile.batdongsan.com.vn/images/avatar/no-image-default.png', 'https://file4.batdongsan.com.vn/2015/10/31/0I4XNtd4/20151031155148-8367.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727160955-609d.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161005-12f0.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161016-2efa.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161032-cb0e.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161043-eab3.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161054-c349.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161106-0431.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161117-7c10.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161137-b7b8.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161149-3f51.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161201-e215.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161214-fe18.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161225-2f6b.jpg', 'https://file4.batdongsan.com.vn/2016/07/27/rSV267QK/20160727161441-d70c.jpg', 'https://staticfile.batdongsan.com.vn/images/ProjectNet/error-image/media-error-image-medium.svg', 'https://file4.batdongsan.com.vn/crop/609x360/2015/10/31/0I4XNtd4/20151031155148-8367.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727160955-609d.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161005-12f0.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161016-2efa.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161032-cb0e.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161043-eab3.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161054-c349.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161106-0431.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161117-7c10.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161137-b7b8.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161149-3f51.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161201-e215.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161214-fe18.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161225-2f6b.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/07/27/rSV267QK/20160727161441-d70c.jpg']",['Không có thông tin'],2292,"Giá T10/22: 100 tr/m²; Giá T11/22: 98 tr/m²; Giá T12/22: 113,1 tr/m²; Giá T1/23: 104,5 tr/m²; Giá T2/23: 110,3 tr/m²; Giá T3/23: 105,2 tr/m²; Giá T4/23: 103,8 tr/m²; Giá T5/23: 100 tr/m²; Giá T6/23: 108,2 tr/m²; Giá T7/23: 106,4 tr/m²; Giá T8/23: 110,6 tr/m²; Giá T9/23: 108,5 tr/m²; Giá T10/23: 121,8 tr/m²; Giá T11/23: 108,2 tr/m²; Giá T12/23: 114,7 tr/m²; Giá T1/24: 114,9 tr/m²; Giá T2/24: 108,3 tr/m²; Giá T3/24: 116,9 tr/m²; Giá T4/24: 140 tr/m²; Giá T5/24: 136,4 tr/m²; Giá T6/24: 150 tr/m²; Giá T7/24: 148 tr/m²; Giá T8/24: 154,5 tr/m²; Giá T9/24: 161,1 tr/m²; Giá T10/24: 159,1 tr/m²;  "
Phường Thành Công,Ba Đình,Hà Nội,The Nelson Private Residences,HD Mon Holdings,1.553 m²,Không có thông tin,Không có thông tin,Không có thông tin,"['https://file4.batdongsan.com.vn/2024/11/19/20241119091945-44c0_wm.jpg', 'https://file4.batdongsan.com.vn/2024/11/19/20241119091819-a5c0_wm.jpg', 'https://file4.batdongsan.com.vn/2024/11/19/20241119091812-b90e_wm.jpg', 'https://file4.batdongsan.com.vn/2024/11/19/20241119091807-96ae_wm.jpg', 'https://file4.batdongsan.com.vn/2024/11/19/20241119091800-eae4_wm.jpg', 'https://file4.batdongsan.com.vn/2024/11/19/20241119091754-91f2_wm.jpg', 'https://file4.batdongsan.com.vn/2016/04/08/0I4XNtd4/20160408105531-9a9d.jpg', 'https://file4.batdongsan.com.vn/2016/09/10/0I4XNtd4/20160910114954-e31c.jpg', 'https://file4.batdongsan.com.vn/2016/09/10/0I4XNtd4/20160910114959-7f12.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/11/19/20241119091945-44c0_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/11/19/20241119091819-a5c0_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/11/19/20241119091812-b90e_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/11/19/20241119091807-96ae_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/11/19/20241119091800-eae4_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/11/19/20241119091754-91f2_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/04/08/0I4XNtd4/20160408105531-9a9d.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/09/10/0I4XNtd4/20160910114954-e31c.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/09/10/0I4XNtd4/20160910114959-7f12.jpg']","['Bãi đỗ xe', 'HT An ninh', 'Hệ thống PCCC', 'Hồ bơi', 'Vui chơi trẻ em', 'Siêu thị', 'Coffee', 'Trường mẫu giáo', 'Trung tâm thương mại', '']",2496,Không có dữ liệu lịch sử giá
Phường Thành Công,Ba Đình,Hà Nội,Diamond Park Plaza,Đang cập nhật,"1,58 ha",Không có thông tin,Không có thông tin,Không có thông tin,"['https://staticfile.batdongsan.com.vn/images/avatar/no-image-default.png', 'https://file4.batdongsan.com.vn/2024/07/12/20240712161631-1281_wm.jpg', 'https://file4.batdongsan.com.vn/2024/07/12/20240712161336-84b1_wm.jpg', 'https://file4.batdongsan.com.vn/2024/07/12/20240712161220-c1a9_wm.jpg', 'https://file4.batdongsan.com.vn/2022/11/23/20221123112846-0ee8_wm.jpg', 'https://file4.batdongsan.com.vn/2022/11/23/20221123112840-d855_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/ProjectNet/error-image/media-error-image-medium.svg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/07/12/20240712161631-1281_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/07/12/20240712161336-84b1_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2024/07/12/20240712161220-c1a9_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2022/11/23/20221123112846-0ee8_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2022/11/23/20221123112840-d855_wm.jpg']","['Bãi đỗ xe', 'Phòng Gym', 'Phòng Yoga', 'HT An ninh', 'HT Điều hòa', 'Lối thoát hiểm', 'Hệ thống PCCC', 'Phòng sinh hoạt', 'Cửa hàng tiện lợi', 'Lễ tân', 'Spa', 'Coffee', 'Thang máy', 'Trung tâm thương mại']",2554,"Giá Q3/22: 101 tr/m²; Giá Q3/22: 101 tr/m²; Giá Q4/22: 91,2 tr/m²; Giá Q4/22: 91,2 tr/m²; Giá Q4/22: 91,2 tr/m²; Giá Q1/23: 88 tr/m²; Giá Q1/23: 88 tr/m²; Giá Q1/23: 88 tr/m²; Giá Q2/23: 85,6 tr/m²; Giá Q2/23: 85,6 tr/m²; Giá Q2/23: 85,6 tr/m²; Giá Q3/23: 89,4 tr/m²; Giá Q3/23: 89,4 tr/m²; Giá Q3/23: 89,4 tr/m²; Giá Q4/23: 96,7 tr/m²; Giá Q4/23: 96,7 tr/m²; Giá Q4/23: 96,7 tr/m²; Giá Q1/24: 109,6 tr/m²; Giá Q1/24: 109,6 tr/m²; Giá Q1/24: 109,6 tr/m²; Giá Q2/24: 109,6 tr/m²; Giá Q2/24: 109,6 tr/m²; Giá Q2/24: 109,6 tr/m²; Giá Q3/24: 126,3 tr/m²; Giá Q3/24: 126,3 tr/m²;  "
Phường Kim Mã,Ba Đình,Hà Nội,Grandeur Palace Giảng Võ,Công ty CP Đầu tư Văn Phú - Invest,9.025 m²,Không có thông tin,Không có thông tin,Không có thông tin,"['https://staticfile.batdongsan.com.vn/images/avatar/no-image-default.png', 'https://file4.batdongsan.com.vn/2021/06/28/20210628110318-c0fb.jpg', 'https://file4.batdongsan.com.vn/2021/06/28/20210628110252-740d.jpg', 'https://file4.batdongsan.com.vn/2021/06/28/20210628110006-effc.jpg', 'https://file4.batdongsan.com.vn/2021/06/28/20210628105942-fc85.jpg', 'https://staticfile.batdongsan.com.vn/images/ProjectNet/error-image/media-error-image-medium.svg', 'https://file4.batdongsan.com.vn/crop/609x360/2021/06/28/20210628110318-c0fb.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2021/06/28/20210628110252-740d.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2021/06/28/20210628110006-effc.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2021/06/28/20210628105942-fc85.jpg']","['Bãi đỗ xe', 'Công viên', 'Phòng Gym', 'Phòng Yoga', 'HT An ninh', 'HT Điều hòa', 'Lối thoát hiểm', 'Hệ thống PCCC', 'Hồ bơi', 'Phòng sinh hoạt', 'Vui chơi trẻ em', 'Lễ tân', 'Coffee', 'ATM & Ngân hàng', 'Nhà hàng', 'Thang máy', 'Trung tâm thương mại', '']",3392,"Giá T10/22: 95,5 tr/m²; Giá T11/22: 89,7 tr/m²; Giá T12/22: 106,7 tr/m²; Giá T1/23: 104,2 tr/m²; Giá T2/23: 97,4 tr/m²; Giá T3/23: 101,9 tr/m²; Giá T4/23: 98,1 tr/m²; Giá T5/23: 91,2 tr/m²; Giá T6/23: 85,9 tr/m²; Giá T7/23: 85,9 tr/m²; Giá T8/23: 92 tr/m²; Giá T9/23: 93,8 tr/m²; Giá T10/23: 86,9 tr/m²; Giá T11/23: 101,6 tr/m²; Giá T12/23: 100,1 tr/m²; Giá T1/24: 100,4 tr/m²; Giá T2/24: 99,4 tr/m²; Giá T3/24: 109,1 tr/m²; Giá T4/24: 110,1 tr/m²; Giá T5/24: 109,5 tr/m²; Giá T6/24: 113,6 tr/m²; Giá T7/24: 117,2 tr/m²; Giá T8/24: 117,2 tr/m²; Giá T9/24: 121,1 tr/m²; Giá T10/24: 133,5 tr/m²;  "
Xã Xuân Quan,Văn Giang,Hưng Yên,The Fibonan Ecopark,Đang cập nhật,4.370 m²,656 căn,1 tòa,Sổ hồng lâu dài,"['https://file4.batdongsan.com.vn/2023/01/03/20230103170604-905f_wm.jpg', 'https://file4.batdongsan.com.vn/2023/01/03/20230103171151-23ff_wm.jpg', 'https://file4.batdongsan.com.vn/2023/01/03/20230103171323-3f42_wm.jpg', 'https://file4.batdongsan.com.vn/2023/01/03/20230103171317-39a2_wm.jpg', 'https://file4.batdongsan.com.vn/2023/01/03/20230103171303-a836_wm.jpg', 'https://file4.batdongsan.com.vn/2023/01/03/20230103171258-4bfe_wm.jpg', 'https://file4.batdongsan.com.vn/2023/01/03/20230103171253-10e1_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2023/01/03/20230103170604-905f_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2023/01/03/20230103171151-23ff_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2023/01/03/20230103171323-3f42_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2023/01/03/20230103171317-39a2_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2023/01/03/20230103171303-a836_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2023/01/03/20230103171258-4bfe_wm.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2023/01/03/20230103171253-10e1_wm.jpg']","['Bãi đỗ xe', 'Sân Tennis', 'Sân bóng rổ', 'Sân bóng đá', 'BBQ', 'Công viên', 'Đường chạy bộ', 'Phòng Gym', 'Phòng Yoga', 'HT An ninh', 'HT Điều hòa', 'Lối thoát hiểm', 'Hệ thống PCCC', 'Hồ bơi', 'Phòng sinh hoạt', 'Vui chơi trẻ em', 'Siêu thị', 'Cửa hàng tiện lợi', 'Lễ tân', 'Spa', 'Coffee', 'Trường mẫu giáo', 'Trường tiểu học', 'ATM & Ngân hàng', 'Nhà hàng', 'Trạm y tế', 'Thang máy']",5781,Không có dữ liệu lịch sử giá
Phường Bãi Cháy,Hạ Long,Quảng Ninh,The Dragon Castle,Công ty CP Tổ chức Nhà Quốc Gia (N.H.O),"1,78 ha",Không có thông tin,Không có thông tin,Không có thông tin,"['https://file4.batdongsan.com.vn/2020/02/10/hmcVYWuR/20200210110756-d354.jpg', 'https://file4.batdongsan.com.vn/2020/02/10/hmcVYWuR/20200210110738-c224.jpg', 'https://file4.batdongsan.com.vn/2020/02/10/hmcVYWuR/20200210110729-5641.jpg', 'https://file4.batdongsan.com.vn/2020/02/10/hmcVYWuR/20200210110914-9f89.jpg', 'https://file4.batdongsan.com.vn/2020/02/10/hmcVYWuR/20200210111918-239f.jpg', 'https://file4.batdongsan.com.vn/2020/02/10/hmcVYWuR/20200210111951-526b.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2020/02/10/hmcVYWuR/20200210110756-d354.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2020/02/10/hmcVYWuR/20200210110738-c224.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2020/02/10/hmcVYWuR/20200210110729-5641.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2020/02/10/hmcVYWuR/20200210110914-9f89.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2020/02/10/hmcVYWuR/20200210111918-239f.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2020/02/10/hmcVYWuR/20200210111951-526b.jpg']",['Không có thông tin'],4798,"Giá T10/22: 30,4 tr/m²; Giá T11/22: 32,7 tr/m²; Giá T12/22: 28,5 tr/m²; Giá T1/23: 27,6 tr/m²; Giá T2/23: 30,2 tr/m²; Giá T3/23: 28,6 tr/m²; Giá T4/23: 28,6 tr/m²; Giá T5/23: 29,2 tr/m²; Giá T6/23: 26,9 tr/m²; Giá T7/23: 28,3 tr/m²; Giá T8/23: 27,8 tr/m²; Giá T9/23: 28,6 tr/m²; Giá T10/23: 27,7 tr/m²; Giá T11/23: 27,9 tr/m²; Giá T12/23: 26,7 tr/m²; Giá T1/24: 27,8 tr/m²; Giá T2/24: 28,7 tr/m²; Giá T3/24: 31,4 tr/m²; Giá T4/24: 33,2 tr/m²; Giá T5/24: 30,5 tr/m²; Giá T6/24: 31 tr/m²; Giá T7/24: 30 tr/m²; Giá T8/24: 28,9 tr/m²; Giá T9/24: 27,8 tr/m²; Giá T10/24: 28,4 tr/m²;  "
Phường Kim Mã,Ba Đình,Hà Nội,Núi Trúc Square,Đang cập nhật,736 m²,69 căn,1 tòa,Không có thông tin,"['https://file4.batdongsan.com.vn/2017/12/18/hmcVYWuR/20171218152620-ea4d.jpg', 'https://file4.batdongsan.com.vn/2017/12/18/hmcVYWuR/20171218152654-73b6.jpg', 'https://file4.batdongsan.com.vn/2017/12/18/hmcVYWuR/20171218170742-28dd.jpg', 'https://file4.batdongsan.com.vn/2017/12/18/hmcVYWuR/20171218171425-c72f.jpg', 'https://file4.batdongsan.com.vn/2018/04/05/0I4XNtd4/20180405094028-3947.jpg', 'https://file4.batdongsan.com.vn/2018/04/05/0I4XNtd4/20180405094034-7f7f.jpg', 'https://file4.batdongsan.com.vn/2018/04/05/0I4XNtd4/20180405094039-7185.jpg', 'https://file4.batdongsan.com.vn/2018/04/05/0I4XNtd4/20180405094044-8a8b.jpg', 'https://file4.batdongsan.com.vn/2018/04/05/0I4XNtd4/20180405094050-844f.jpg', 'https://file4.batdongsan.com.vn/2018/04/05/0I4XNtd4/20180405094055-3c91.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/12/18/hmcVYWuR/20171218152620-ea4d.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/12/18/hmcVYWuR/20171218152654-73b6.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/12/18/hmcVYWuR/20171218170742-28dd.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/12/18/hmcVYWuR/20171218171425-c72f.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2018/04/05/0I4XNtd4/20180405094028-3947.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2018/04/05/0I4XNtd4/20180405094034-7f7f.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2018/04/05/0I4XNtd4/20180405094039-7185.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2018/04/05/0I4XNtd4/20180405094044-8a8b.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2018/04/05/0I4XNtd4/20180405094050-844f.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2018/04/05/0I4XNtd4/20180405094055-3c91.jpg']",['Không có thông tin'],3287,"Giá Q4/22: 40 tr/m²; Giá Q4/22: 40 tr/m²; Giá Q1/23: 40 tr/m²; Giá Q1/23: 40 tr/m²; Giá Q1/23: 40 tr/m²; Giá Q1/23: 40 tr/m²; Giá Q2/23: 40 tr/m²; Giá Q2/23: 40 tr/m²; Giá Q2/23: 40 tr/m²; Giá Q3/23: 40 tr/m²; Giá Q3/23: 40 tr/m²; Giá Q3/23: 40 tr/m²; Giá Q3/23: 40 tr/m²; Giá Q4/23: 40 tr/m²; Giá Q4/23: 40 tr/m²; Giá Q4/23: 40 tr/m²; Giá Q1/24: 40 tr/m²; Giá Q1/24: 40 tr/m²; Giá Q1/24: 40 tr/m²; Giá Q1/24: 40 tr/m²; Giá Q2/24: 40 tr/m²; Giá Q2/24: 40 tr/m²; Giá Q2/24: 40 tr/m²; Giá Q3/24: 47,3 tr/m²; Giá Q3/24: 47,3 tr/m²;  "
Phường Thành Công,Ba Đình,Hà Nội,Thành Công Tower 57 Láng Hạ,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,"4,33 ha",Không có thông tin,Không có thông tin,Không có thông tin,"['https://file4.batdongsan.com.vn/2016/12/29/hmcVYWuR/20161229092615-9635.jpg', 'https://file4.batdongsan.com.vn/2016/12/29/hmcVYWuR/20161229092902-51e7.jpg', 'https://file4.batdongsan.com.vn/2016/12/29/hmcVYWuR/20161229093533-6511.jpg', 'https://file4.batdongsan.com.vn/2016/12/29/hmcVYWuR/20161229093542-eadd.jpg', 'https://file4.batdongsan.com.vn/2016/12/29/hmcVYWuR/20161229093551-1d17.jpg', 'https://file4.batdongsan.com.vn/2016/12/29/hmcVYWuR/20161229093601-f06f.jpg', 'https://file4.batdongsan.com.vn/2016/12/29/hmcVYWuR/20161229093610-31e7.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/29/hmcVYWuR/20161229092615-9635.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/29/hmcVYWuR/20161229092902-51e7.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/29/hmcVYWuR/20161229093533-6511.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/29/hmcVYWuR/20161229093542-eadd.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/29/hmcVYWuR/20161229093551-1d17.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/29/hmcVYWuR/20161229093601-f06f.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/29/hmcVYWuR/20161229093610-31e7.jpg']",['Không có thông tin'],57,"Giá Q3/22: 34,5 tr/m²; Giá Q3/22: 34,5 tr/m²; Giá Q4/22: 37,7 tr/m²; Giá Q4/22: 37,7 tr/m²; Giá Q4/22: 37,7 tr/m²; Giá Q1/23: 37,7 tr/m²; Giá Q1/23: 37,7 tr/m²; Giá Q1/23: 37,7 tr/m²; Giá Q2/23: 37 tr/m²; Giá Q2/23: 37 tr/m²; Giá Q2/23: 37 tr/m²; Giá Q3/23: 37 tr/m²; Giá Q3/23: 37 tr/m²; Giá Q3/23: 37 tr/m²; Giá Q4/23: 40,6 tr/m²; Giá Q4/23: 40,6 tr/m²; Giá Q4/23: 40,6 tr/m²; Giá Q1/24: 49,2 tr/m²; Giá Q1/24: 49,2 tr/m²; Giá Q1/24: 49,2 tr/m²; Giá Q2/24: 58,5 tr/m²; Giá Q2/24: 58,5 tr/m²; Giá Q2/24: 58,5 tr/m²; Giá Q3/24: 74 tr/m²; Giá Q3/24: 74 tr/m²;  "
Phường Vĩnh Phúc,Ba Đình,Hà Nội,Chung cư Newtatco,Tổng Công ty 319 - Bộ Quốc phòng,9.984 m²,Không có thông tin,Không có thông tin,Không có thông tin,"['https://staticfile.batdongsan.com.vn/images/avatar/no-image-default.png', 'https://file4.batdongsan.com.vn/2016/12/30/hmcVYWuR/20161230110119-763b.jpg', 'https://file4.batdongsan.com.vn/2017/05/10/0I4XNtd4/20170510175113-b5b4.jpg', 'https://file4.batdongsan.com.vn/2017/05/10/0I4XNtd4/20170510175133-7c26.jpg', 'https://file4.batdongsan.com.vn/2016/12/30/hmcVYWuR/20161230110321-fb22.jpg', 'https://file4.batdongsan.com.vn/2016/12/30/hmcVYWuR/20161230110328-44bc.jpg', 'https://file4.batdongsan.com.vn/2018/01/30/0I4XNtd4/20180130105600-27f6.jpg', 'https://staticfile.batdongsan.com.vn/images/ProjectNet/error-image/media-error-image-medium.svg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/30/hmcVYWuR/20161230110119-763b.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/05/10/0I4XNtd4/20170510175113-b5b4.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/05/10/0I4XNtd4/20170510175133-7c26.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/30/hmcVYWuR/20161230110321-fb22.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2016/12/30/hmcVYWuR/20161230110328-44bc.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2018/01/30/0I4XNtd4/20180130105600-27f6.jpg']",['Không có thông tin'],1792,Không có dữ liệu lịch sử giá
Phường Vĩnh Phúc,Ba Đình,Hà Nội,Khu nhà ở số 6 Đội Nhân,Công ty CP đầu tư & xây dựng Ba Đình số 1,Không có thông tin,Không có thông tin,2 tòa,Không có thông tin,"['https://staticfile.batdongsan.com.vn/images/avatar/no-image-default.png', 'https://file4.batdongsan.com.vn/2017/01/04/hmcVYWuR/20170104154151-301c.jpg', 'https://file4.batdongsan.com.vn/2017/01/04/hmcVYWuR/20170104154307-1aee.jpg', 'https://file4.batdongsan.com.vn/2017/01/04/hmcVYWuR/20170104154313-a705.jpg', 'https://file4.batdongsan.com.vn/2017/01/04/hmcVYWuR/20170104154816-8ddd.jpg', 'https://file4.batdongsan.com.vn/2017/01/04/hmcVYWuR/20170104154823-70e4.jpg', 'https://file4.batdongsan.com.vn/2017/01/04/hmcVYWuR/20170104154836-bfac.jpg', 'https://staticfile.batdongsan.com.vn/images/ProjectNet/error-image/media-error-image-medium.svg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/01/04/hmcVYWuR/20170104154151-301c.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/01/04/hmcVYWuR/20170104154307-1aee.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/01/04/hmcVYWuR/20170104154313-a705.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/01/04/hmcVYWuR/20170104154816-8ddd.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/01/04/hmcVYWuR/20170104154823-70e4.jpg', 'https://file4.batdongsan.com.vn/crop/609x360/2017/01/04/hmcVYWuR/20170104154836-bfac.jpg']",['Không có thông tin'],1401,Không có dữ liệu lịch sử giá
