Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Phân loại,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Thông tin khác,Lịch sử giá,Khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,"1,6 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Không có thông tin,Đông - Bắc,Tây - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,"1,65 tỷ",2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,"1,5 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Không có thông tin,Đông - Nam,Đông - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Vĩnh Hòa,Nha Trang,Khánh Hòa,Đang cập nhật,Libera Nha Trang,Condotel tại Libera Nha Trang,27 m²,"1,2 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Full.,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Đại Thịnh,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Chung cư Rosa Garden,Căn hộ chung cư tại Chung cư Rosa Garden,54 m²,Thỏa thuận,2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,Không có thông tin,Đông - Bắc,Tây - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,60 m²,"1,55 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,"1,5 tỷ",2 phòng,1 phòng,Đang chờ sổ,Không có thông tin,Không có thông tin,Không có thông tin,Đông,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Không có thông tin,Đông - Bắc,Tây - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Nhơn Đức,Nhà Bè,Hồ Chí Minh,Công ty Địa ốc Khải Hoàn Land,Khải Hoàn Prime,Căn hộ chung cư tại Khải Hoàn Prime,"56,3 m²","2,9 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,Không có thông tin,Không có thông tin,Không có thông tin,Số tòa: 3; Số căn hộ: 1.257,"Giá Q4/22: 31,4 tr/m²; Giá Q4/22: 31,4 tr/m²; Giá Q1/23: 31,4 tr/m²; Giá Q1/23: 31,4 tr/m²; Giá Q1/23: 31,4 tr/m²; Giá Q1/23: 31,4 tr/m²; Giá Q2/23: 53 tr/m²; Giá Q2/23: 53 tr/m²; Giá Q2/23: 53 tr/m²; Giá Q3/23: 53 tr/m²; Giá Q3/23: 53 tr/m²; Giá Q3/23: 53 tr/m²; Giá Q3/23: 53 tr/m²; Giá Q4/23: 48 tr/m²; Giá Q4/23: 48 tr/m²; Giá Q4/23: 48 tr/m²; Giá Q1/24: 45,7 tr/m²; Giá Q1/24: 45,7 tr/m²; Giá Q1/24: 45,7 tr/m²; Giá Q1/24: 45,7 tr/m²; Giá Q2/24: 46 tr/m²; Giá Q2/24: 46 tr/m²; Giá Q2/24: 46 tr/m²; Giá Q3/24: 50,4 tr/m²; Giá Q3/24: 50,4 tr/m²;  ","29,7 40,6; 29,7 40,6; 29,7 40,6; 29,7 40,6; 29,7 40,6; 29,7 40,6; 41,2 57,4; 41,2 57,4; 41,2 57,4; 41,2 57,4; 41,2 57,4; 41,2 57,4; 41,2 57,4; 43,9 51,2; 43,9 51,2; 43,9 51,2; 44,4 49,1; 44,4 49,1; 44,4 49,1; 44,4 49,1; 44,4 49,2; 44,4 49,2; 44,4 49,2; 45,7 56,6; 45,7 56,6"
Xã Thanh Lâm,Mê Linh,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,Căn hộ chung cư tại HUD Me Linh Central,54 m²,"1,6 tỷ",Không có thông tin,Không có thông tin,Không có thông tin,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
