Quận/Huyện,Thời gian,Giá
Ba Đình,T1/23,389.5
Ba Đình,T1/24,503.27777777777777
Ba Đình,T10/22,203.89473684210526
Ba Đình,T10/23,507.3333333333333
Ba Đình,T10/24,681.8888888888889
Ba Đình,T11/22,191.27777777777777
Ba Đình,T11/23,470.8333333333333
Ba Đình,T12/22,478.44444444444446
Ba Đình,T12/23,483.6666666666667
Ba Đình,T2/23,474.1666666666667
Ba Đình,T2/24,483.1666666666667
Ba Đình,T3/23,470.77777777777777
Ba Đình,T3/24,510.1111111111111
Ba Đình,T4/23,453.8888888888889
Ba Đình,T4/24,288.8333333333333
Ba Đình,T5/23,238.23529411764707
Ba Đình,T5/24,488.05555555555554
Ba Đình,T6/23,465.44444444444446
Ba Đình,T6/24,298.77777777777777
Ba Đình,T7/23,458.55555555555554
Ba Đình,T7/24,316.3888888888889
Ba Đình,T8/23,404.0
Ba Đình,T8/24,637.6666666666666
Ba Đình,T9/23,478.77777777777777
Ba Đình,T9/24,672.0
Bắc Từ Liêm,T1/23,475.0
Bắc Từ Liêm,T1/24,545.8333333333334
Bắc Từ Liêm,T10/22,692.5833333333334
Bắc Từ Liêm,T10/23,667.0416666666666
Bắc Từ Liêm,T10/24,911.5833333333334
Bắc Từ Liêm,T11/22,613.25
Bắc Từ Liêm,T11/23,642.4166666666666
Bắc Từ Liêm,T12/22,661.4583333333334
Bắc Từ Liêm,T12/23,600.4166666666666
Bắc Từ Liêm,T2/23,486.625
Bắc Từ Liêm,T2/24,736.5833333333334
Bắc Từ Liêm,T3/23,296.0833333333333
Bắc Từ Liêm,T3/24,565.5
Bắc Từ Liêm,T4/23,670.0833333333334
Bắc Từ Liêm,T4/24,676.7916666666666
Bắc Từ Liêm,T5/23,460.5
Bắc Từ Liêm,T5/24,718.875
Bắc Từ Liêm,T6/23,469.625
Bắc Từ Liêm,T6/24,704.5416666666666
Bắc Từ Liêm,T7/23,601.125
Bắc Từ Liêm,T7/24,811.8333333333334
Bắc Từ Liêm,T8/23,624.0833333333334
Bắc Từ Liêm,T8/24,727.6666666666666
Bắc Từ Liêm,T9/23,674.625
Bắc Từ Liêm,T9/24,705.0416666666666
Chương Mỹ,T1/23,43.0
Chương Mỹ,T1/24,44.0
Chương Mỹ,T10/22,46.0
Chương Mỹ,T10/23,45.0
Chương Mỹ,T10/24,72.0
Chương Mỹ,T11/22,46.0
Chương Mỹ,T11/23,42.0
Chương Mỹ,T12/22,47.0
Chương Mỹ,T12/23,42.0
Chương Mỹ,T2/23,43.0
Chương Mỹ,T2/24,46.0
Chương Mỹ,T3/23,41.0
Chương Mỹ,T3/24,44.0
Chương Mỹ,T4/23,45.0
Chương Mỹ,T4/24,50.0
Chương Mỹ,T5/23,44.0
Chương Mỹ,T5/24,53.0
Chương Mỹ,T6/23,43.0
Chương Mỹ,T6/24,58.0
Chương Mỹ,T7/23,47.0
Chương Mỹ,T7/24,61.0
Chương Mỹ,T8/23,43.0
Chương Mỹ,T8/24,64.0
Chương Mỹ,T9/23,50.0
Chương Mỹ,T9/24,67.0
Cầu Giấy,T1/23,286.22857142857146
Cầu Giấy,T1/24,298.62857142857143
Cầu Giấy,T10/22,261.62857142857143
Cầu Giấy,T10/23,259.42857142857144
Cầu Giấy,T10/24,391.1714285714286
Cầu Giấy,T11/22,272.0571428571429
Cầu Giấy,T11/23,298.4
Cầu Giấy,T12/22,249.82857142857142
Cầu Giấy,T12/23,295.2857142857143
Cầu Giấy,T2/23,230.82857142857142
Cầu Giấy,T2/24,293.0857142857143
Cầu Giấy,T3/23,286.22857142857146
Cầu Giấy,T3/24,343.8285714285714
Cầu Giấy,T4/23,280.37142857142857
Cầu Giấy,T4/24,305.25714285714287
Cầu Giấy,T5/23,211.6
Cầu Giấy,T5/24,364.34285714285716
Cầu Giấy,T6/23,275.0571428571429
Cầu Giấy,T6/24,330.8285714285714
Cầu Giấy,T7/23,253.54285714285714
Cầu Giấy,T7/24,361.74285714285713
Cầu Giấy,T8/23,288.6
Cầu Giấy,T8/24,386.45714285714286
Cầu Giấy,T9/23,282.6857142857143
Cầu Giấy,T9/24,377.8
Gia Lâm,T1/23,353.7878787878788
Gia Lâm,T1/24,401.75757575757575
Gia Lâm,T10/22,433.3333333333333
Gia Lâm,T10/23,413.3636363636364
Gia Lâm,T10/24,603.6363636363636
Gia Lâm,T11/22,339.1818181818182
Gia Lâm,T11/23,397.8181818181818
Gia Lâm,T12/22,400.6060606060606
Gia Lâm,T12/23,415.2121212121212
Gia Lâm,T2/23,344.90909090909093
Gia Lâm,T2/24,320.8787878787879
Gia Lâm,T3/23,353.6666666666667
Gia Lâm,T3/24,398.6969696969697
Gia Lâm,T4/23,404.06060606060606
Gia Lâm,T4/24,441.3333333333333
Gia Lâm,T5/23,402.1515151515151
Gia Lâm,T5/24,433.6060606060606
Gia Lâm,T6/23,263.54545454545456
Gia Lâm,T6/24,430.27272727272725
Gia Lâm,T7/23,397.75757575757575
Gia Lâm,T7/24,513.0909090909091
Gia Lâm,T8/23,309.8787878787879
Gia Lâm,T8/24,517.6666666666666
Gia Lâm,T9/23,319.8484848484849
Gia Lâm,T9/24,272.3333333333333
Hai Bà Trưng,T1/23,273.27272727272725
Hai Bà Trưng,T1/24,355.8181818181818
Hai Bà Trưng,T10/22,217.27272727272728
Hai Bà Trưng,T10/23,306.1363636363636
Hai Bà Trưng,T10/24,509.59090909090907
Hai Bà Trưng,T11/22,323.1363636363636
Hai Bà Trưng,T11/23,349.1818181818182
Hai Bà Trưng,T12/22,169.3181818181818
Hai Bà Trưng,T12/23,357.90909090909093
Hai Bà Trưng,T2/23,281.3636363636364
Hai Bà Trưng,T2/24,323.04545454545456
Hai Bà Trưng,T3/23,282.0
Hai Bà Trưng,T3/24,392.8636363636364
