Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích (m²),Mức giá (triệu/m²),Số phòng ngủ (phòng),Số toilet (phòng),Pháp lý,Nội thất,Mã lịch sử giá
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,55.0,64.18181610107422,2.0,1.0,Đầy đủ,Cơ bản,M
Vĩnh Phúc,Ba Đình,Công ty CP đầu tư & xây dựng Ba Đình số 1,Khu nhà ở số 6 Đội Nhân,94.0,63.72340393066406,3.0,2.0,Đầy đủ,Cơ bản,N
Hoàng Văn Thụ,Hoàng Mai,Tập đoàn Lã Vọng,Louis City Hoàng Mai,95.0,289.47369384765625,6.0,6.0,Đầy đủ,Không nội thất,M
Mỹ Đình 1,Nam Từ Liêm,Tư nhân,Tư nhân,61.0,206.557373046875,18.0,18.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 1,Nam Từ Liêm,Tư nhân,Tư nhân,43.0,220.93023681640625,9.0,9.0,Đầy đủ,Đầy đủ,M
Mai Dịch,Cầu Giấy,Tư nhân,Tư nhân,60.0,321.6666564941406,6.0,6.0,Đầy đủ,Đầy đủ,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,62.0,85.48387145996094,2.0,2.0,Đầy đủ,Đầy đủ,N
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,65.0,230.46153259277344,5.0,5.0,Đầy đủ,Không nội thất,N
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,68.0,52.94117736816406,2.0,2.0,Hợp đồng mua bán,Đầy đủ,M
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,74.0,52.70270156860352,2.0,2.0,Đầy đủ,Cơ bản,M
Lĩnh Nam,Hoàng Mai,Tư nhân,Tư nhân,35.0,159.42857360839844,5.0,4.0,Đầy đủ,Đầy đủ,M
Trâu Quỳ,Gia Lâm,Masterise Homes,The Lake,60.0,70.0,2.0,2.0,Đầy đủ,Đầy đủ,N
Quảng An,Tây Hồ,Tân Hoàng Minh Group,D’. Le Roi Soleil,146.0,94.24657440185548,3.0,2.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,55.0,46.3636360168457,2.0,1.0,Đầy đủ,Đầy đủ,M
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,69.2,42.63005828857422,2.0,2.0,Đầy đủ,Cơ bản,M
Quảng An,Tây Hồ,Tân Hoàng Minh Group,D’. Le Roi Soleil,222.4,138.803955078125,4.0,3.0,Đầy đủ,Cao cấp,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Smart City,46.0,150.0,1.0,1.0,Đầy đủ,Không nội thất,Q
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,65.3,59.57120513916016,2.0,2.0,Đầy đủ,Đầy đủ,M
Ô Chợ Dừa,Đống Đa,Tư nhân,Tư nhân,120.0,495.0,20.0,20.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,74.0,47.29729843139648,3.0,2.0,Đầy đủ,Đầy đủ,M
Đông Ngạc,Bắc Từ Liêm,Công ty CP Tập đoàn Sunshine,Sunshine City,80.3,66.00248718261719,2.0,2.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,59.0,44.06779479980469,2.0,1.0,Đầy đủ,Đầy đủ,M
Hòa Thạch,Quốc Oai,Tư nhân,Tư nhân,2499.7,13.0,1.0,1.0,Đầy đủ,Cơ bản,N
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,An Quý Villa - KĐT Dương Nội,198.0,212.1212158203125,4.0,4.0,Đầy đủ,Không nội thất,Q
Phú Thượng,Tây Hồ,CapitaLand Development (Việt Nam),Heritage West Lake,180.0,119.83333587646484,4.0,4.0,Đầy đủ,Cơ bản,M
Phú Thượng,Tây Hồ,Kita Group,Kita Capital Ciputra,149.0,322.14764404296875,5.0,5.0,Đầy đủ,Không nội thất,N
Bồ Đề,Long Biên,Tư nhân,Tư nhân,50.0,256.0,4.0,5.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Masterise Homes,Lumiere EverGreen,93.0,84.94623565673828,3.0,2.0,Hợp đồng mua bán,Đầy đủ,N
Đức Giang,Long Biên,Tư nhân,Tư nhân,61.1,232.4058990478516,6.0,4.0,Đầy đủ,Đầy đủ,M
Đa Tốn,Gia Lâm,Masterise Homes,Masteri Waterfront,54.0,73.14814758300781,2.0,2.0,Hợp đồng mua bán,Đầy đủ,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,32.0,120.0,1.0,1.0,Đầy đủ,Đầy đủ,N
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,120.0,333.3333435058594,5.0,5.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,54.8,66.9708023071289,2.0,1.0,Hợp đồng mua bán,Đầy đủ,M
Phú Diễn,Bắc Từ Liêm,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,110.0,60.0,3.0,2.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tân Hoàng Minh Group,Vinhomes D'Capitale,112.0,79.46428680419922,2.0,2.0,Đầy đủ,Đầy đủ,M
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,128.0,312.5,5.0,7.0,Hợp đồng mua bán,Cơ bản,M
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,68.0,63.67647171020508,2.0,2.0,Hợp đồng mua bán,Cao cấp,M
Phú Diễn,Bắc Từ Liêm,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,121.0,61.98347091674805,3.0,2.0,Đầy đủ,Đầy đủ,M
Láng Thượng,Đống Đa,Tư nhân,Tư nhân,49.0,322.448974609375,15.0,15.0,Đầy đủ,Đầy đủ,M
Đa Tốn,Gia Lâm,Masterise Homes,Masteri Waterfront,80.0,61.875,3.0,2.0,Đầy đủ,Cơ bản,M
